4
x, y
0.0, 0.0
2.0, 2.450000047683716
3.5, 4.0
3.5, 9.0
time, x, y, lookahead, heading
1.7199999, 2.8940346, 4.947542, 3.9392564, -0.1837963
1.74, 2.909087, 5.032068, 3.9372895, -0.17703852
1.76, 2.9240844, 5.119367, 3.93459, -0.1709132
1.78, 2.938782, 5.207844, 3.9298003, -0.16529743
1.8, 2.9529603, 5.29604, 3.9238474, -0.16010468
1.8199999, 2.9665735, 5.3833566, 3.9180102, -0.15531182
1.8399999, 2.979404, 5.4681025, 3.9115844, -0.15084836
1.86, 2.9913175, 5.549051, 3.9053857, -0.14667879
1.88, 3.0038664, 5.6366463, 3.8987007, -0.1428108
1.9, 3.0151331, 5.7173724, 3.8910544, -0.13912903
1.92, 3.026848, 5.803481, 3.8836224, -0.1356675
1.9399999, 3.0388134, 5.893695, 3.8745863, -0.13235663
1.9599999, 3.0492275, 5.9741464, 3.8665655, -0.12916884
1.9799999, 3.0599527, 6.0590477, 3.8589642, -0.1261417
2.0, 3.0708706, 6.1475186, 3.8503296, -0.12323199
2.02, 3.0817935, 6.2381754, 3.8407114, -0.12038939
2.04, 3.0909202, 6.315711, 3.8329442, -0.1176167
2.06, 3.1003377, 6.397543, 3.8262646, -0.114984825
2.08, 3.1098113, 6.4817805, 3.8181994, -0.11242538
2.1, 3.119362, 6.568655, 3.810107, -0.10994093
2.12, 3.1288877, 6.6572523, 3.801485, -0.10750295
2.1399999, 3.1383052, 6.746867, 3.7925806, -0.10509136
2.1599998, 3.1476347, 6.83774, 3.7838726, -0.10271174
2.18, 3.1568813, 6.9299803, 3.7752843, -0.100365974
2.2, 3.164229, 7.0049663, 3.7686357, -0.09805615
2.22, 3.1718106, 7.084141, 3.7633672, -0.095865294
2.24, 3.1794915, 7.1661735, 3.7571297, -0.093748674
2.26, 3.1871893, 7.25021, 3.7503846, -0.091681056
2.28, 3.1948087, 7.3353667, 3.7432756, -0.089639686
