6
x, y
0.0, 0.0
0.0, 4.0
-0.5, 8.58899974822998
-0.5, 12.404999732971191
-0.5, 17.0
1.5, 19.399999618530273
time, x, y, lookahead
0.0, 0.0, 0.0, 2.0
0.02, 0.0, 0.0064, 2.0
0.04, 0.0, 0.019199999, 2.0
0.06, 0.0, 0.038399998, 2.0
0.08, 0.0, 0.063999996, 2.108888864517212
0.099999994, 0.0, 0.09599999, 2.2333333492279053
0.12, 0.0, 0.13439998, 2.3577775955200195
0.14, 0.0, 0.17919998, 2.482222080230713
0.16, 0.0, 0.23039997, 2.6066665649414062
0.17999999, 0.0, 0.28799996, 2.7311110496520996
0.19999999, 0.0, 0.35199994, 2.855555295944214
0.22, 0.0, 0.42239994, 2.9799997806549072
0.24, 0.0, 0.49919993, 3.1044440269470215
0.26, 0.0, 0.5823999, 3.228888511657715
0.28, 0.0, 0.6719999, 3.353332996368408
0.29999998, 0.0, 0.7679999, 3.4777777194976807
0.32, 0.0, 0.8703999, 3.602222204208374
0.34, 0.0, 0.9791999, 3.7266666889190674
0.35999998, 0.0, 1.0943999, 3.8511109352111816
0.38, 0.0, 1.216, 3.975555658340454
0.39999998, 0.0, 1.344, 4.100000381469727
0.42, 0.0, 1.4784, 4.224444389343262
0.44, 0.0, 1.6192, 4.348889350891113
0.45999998, 0.0, 1.7664, 4.473333835601807
0.48, 0.0, 1.92, 4.5977783203125
0.5, 0.0, 2.08, 4.722222328186035
0.52, 0.0, 2.2463999, 4.846667289733887
0.53999996, 0.0, 2.4192, 4.971111297607422
0.56, 0.0, 2.5983999, 5.095555305480957
0.58, 0.0, 2.784, 5.220000267028809
0.59999996, 0.0, 2.9759998, 5.344444274902344
0.62, 0.0, 3.1743999, 5.468888282775879
0.64, 0.0, 3.3791997, 5.5
0.65999997, 0.0, 3.5903997, 5.5
0.68, 0.0, 3.8079996, 5.5
0.7, 0.0, 4.0319996, 5.5
0.71999997, 0.0, 4.2623997, 5.528421878814697
0.74, -5.171856E-4, 4.49694, 5.553311824798584
0.76, -0.0021840814, 4.735878, 5.577535629272461
0.78, -0.005133122, 4.977147, 5.60073709487915
0.79999995, -0.009556264, 5.223799, 5.623055934906006
0.82, -0.015403708, 5.4706554, 5.643980979919434
0.84, -0.022852324, 5.72363, 5.66397762298584
0.85999995, -0.031997524, 5.982711, 5.682948589324951
0.88, -0.042885564, 6.2478886, 5.700847148895264
0.9, -0.05561288, 6.51915, 5.717576503753662
0.91999996, -0.070224404, 6.796483, 5.733090400695801
0.94, -0.086790405, 7.079876, 5.747317314147949
0.96, -0.10540882, 7.369313, 5.760159015655518
0.97999996, -0.12612255, 7.664781, 5.771570682525635
1.0, -0.1471975, 7.9517503, 5.781702995300293
1.02, -0.1690118, 8.262928, 5.793722152709961
1.04, -0.18828991, 8.569959, 5.80781364440918
1.06, -0.20527637, 8.863058, 5.7947235107421875
1.0799999, -0.221132, 9.1565485, 5.778868198394775
1.1, -0.23716608, 9.472248, 5.762834072113037
1.12, -0.25243953, 9.788718, 5.747560501098633
1.14, -0.2666254, 10.100664, 5.73337459564209
1.16, -0.27983868, 10.408108, 5.720161437988281
1.18, -0.2921568, 10.710965, 5.70784330368042
1.1999999, -0.30365682, 11.0092, 5.696343421936035
1.22, -0.31438518, 11.3027725, 5.685614585876465
1.24, -0.3243887, 11.591689, 5.67561149597168
1.26, -0.33341062, 11.875032, 5.666589260101318
1.28, -0.34060556, 12.131713, 5.659394264221191
1.3, -0.34652653, 12.384073, 5.653473377227783
1.3199999, -0.35093656, 12.631756, 5.649063587188721
1.3399999, -0.35384467, 12.893117, 5.64615535736084
1.36, -0.3547675, 13.135871, 5.645232677459717
1.38, -0.3536866, 13.373766, 5.646313190460205
1.4, -0.3502553, 13.618799, 5.649744510650635
1.42, -0.3446876, 13.848748, 5.655312538146973
1.4399999, -0.33672673, 14.073339, 5.663273334503174
1.4599999, -0.32584435, 14.3011055, 5.6741557121276855
1.48, -0.31228262, 14.523628, 5.687717437744141
1.5, -0.2960028, 14.740664, 5.7039971351623535
1.52, -0.2769687, 14.951971, 5.723031520843506
1.54, -0.2551728, 15.157315, 5.7448272705078125
1.56, -0.23062861, 15.356467, 5.769371509552002
1.5799999, -0.2033598, 15.549207, 5.721883773803711
1.5999999, -0.17343132, 15.73533, 5.64711332321167
1.62, -0.14091569, 15.914645, 5.575531005859375
1.64, -0.105109155, 16.090899, 5.507922172546387
1.66, -0.066833645, 16.26002, 5.442622184753418
1.68, -0.026237067, 16.421856, 5.380457401275635
1.6999999, 0.017369319, 16.579311, 5.322209358215332
1.7199999, 0.06302823, 16.729202, 5.266246795654297
1.74, 0.11141971, 16.873976, 5.214087963104248
1.76, 0.16236956, 17.013283, 5.002957344055176
1.78, 0.2148266, 17.145182, 4.834371566772461
1.8, 0.26843095, 17.269697, 4.671395301818848
1.8199999, 0.3228011, 17.386877, 4.513701438903809
1.8399999, 0.3775717, 17.49678, 4.36097526550293
1.86, 0.4323551, 17.59941, 4.213383197784424
1.88, 0.48692608, 17.694796, 4.094785213470459
1.9, 0.5443119, 17.789263, 4.059199810028076
1.92, 0.6030984, 17.88165, 4.069701194763184
1.9399999, 0.66505736, 17.975706, 4.078046798706055
1.9599999, 0.72718906, 18.06753, 4.054792404174805
1.9799999, 0.78949136, 18.157747, 4.016386985778809
2.0, 0.8498473, 18.243753, 3.9640932083129883
2.02, 0.90742004, 18.3248, 3.904658317565918
2.04, 0.96184635, 18.400702, 3.839482545852661
2.06, 1.0150031, 18.474289, 3.7708914279937744
2.08, 1.062264, 18.539347, 3.697427749633789
2.1, 1.110025, 18.604815, 3.6276659965515137
2.12, 1.1542782, 18.66526, 3.5509443283081055
2.1399999, 1.1914927, 18.715971, 3.4762420654296875
2.1599998, 1.2164913, 18.749975, 3.411750316619873
2.18, 1.2640502, 18.814573, 3.364487648010254
2.2, 1.3087624, 18.875233, 3.265493392944336
2.22, 1.3507049, 18.9321, 3.1699979305267334
2.24, 1.3899337, 18.985289, 3.0771851539611816
2.26, 1.4262072, 19.03447, 2.9767520427703857
2.28, 1.4595157, 19.07963, 2.876296043395996
2.3, 1.4898473, 19.120754, 2.775747060775757
2.32, 1.5169663, 19.157545, 2.668128490447998
2.34, 1.5393082, 19.187885, 2.565277576446533
2.36, 1.5553077, 19.209644, 2.4706966876983643
2.3799999, 1.5676386, 19.226437, 2.3946006298065186
2.3999999, 1.5676386, 19.226437, 2.3946006298065186
2.4199998, 1.5676386, 19.226437, 2.3946006298065186
2.44, 1.5676386, 19.226437, 2.3946006298065186
2.46, 1.5676386, 19.226437, 2.3946006298065186
2.48, 1.5676386, 19.226437, 2.3946006298065186
