4
x, y
0.0, 0.0
0.0, 2.0
-4.5, 4.0
-4.5, 10.0
time, x, y, lookahead, heading
1.6999999, -3.2291334, 4.3555655, 5.263426, 0.38532642
1.7199999, -3.2805836, 4.4928885, 5.428348, 0.3610076
1.74, -3.32945, 4.633029, 5.5985456, 0.33787647
1.76, -3.3769999, 4.7795763, 5.777159, 0.31603718
1.78, -3.4221728, 4.92916, 5.958788, 0.2954525
1.8, -3.4651961, 5.082145, 6.145795, 0.27619427
1.8199999, -3.5060565, 5.238017, 6.33569, 0.2582302
1.8399999, -3.5447268, 5.39615, 5.8193746, 0.24152693
1.86, -3.5793612, 5.548836, 5.6602964, 0.22482365
1.88, -3.6101675, 5.6959834, 5.505045, 0.20812036
1.9, -3.6373405, 5.8375077, 5.353428, 0.19141707
1.92, -3.661077, 5.973331, 5.2052474, 0.17471378
1.9399999, -3.6821923, 6.106596, 5.0748467, 0.15879011
1.9599999, -3.701676, 6.237935, 5.038268, 0.14838728
1.9799999, -3.719039, 6.3618026, 4.938043, 0.140123
2.0, -3.7357683, 6.4864554, 4.8392925, 0.13404049
2.02, -3.750764, 6.601413, 4.741808, 0.13011567
2.04, -3.7631366, 6.6974187, 4.648201, 0.12841311
2.06, -3.7778416, 6.8107367, 4.5551486, 0.12908123
2.08, -3.7919247, 6.916534, 4.459505, 0.13195483
2.1, -3.8063986, 7.021037, 4.3644414, 0.13708383
2.12, -3.8209913, 7.1228514, 4.320977, 0.14179948
2.1399999, -3.8339458, 7.2113333, 4.300098, 0.14504106
2.1599998, -3.8480062, 7.306107, 4.277684, 0.14704977
2.18, -3.8631713, 7.4078035, 4.2472363, 0.14803427
2.2, -3.8781898, 7.5085173, 4.2128954, 0.14803427
2.22, -3.8929136, 7.607255, 4.1593266, 0.14803427
2.24, -3.9071667, 7.7033415, 4.09274, 0.14734098
2.26, -3.9210467, 7.797409, 4.0389647, 0.14658037
2.28, -3.934536, 7.889378, 3.9839973, 0.14566998
2.3, -3.9465091, 7.9716144, 3.9314692, 0.14465442
2.32, -3.9580655, 8.051526, 3.8845901, 0.14363009
2.34, -3.9687295, 8.12587, 3.838027, 0.14255168
2.36, -3.9793675, 8.200593, 3.7948263, 0.14149919
2.3799999, -3.9894974, 8.27229, 3.750366, 0.14042476
2.3999999, -3.9994318, 8.343143, 3.7074091, 0.13935941
2.4199998, -4.009124, 8.412803, 3.664308, 0.13829833
2.44, -4.0186605, 8.481877, 3.621405, 0.13725097
2.46, -4.0280614, 8.550502, 3.5782323, 0.13621989
2.48, -4.0373735, 8.618967, 3.5346882, 0.13520995
2.5, -4.0464387, 8.686147, 3.4903378, 0.13420539
2.52, -4.055572, 8.754325, 3.4463696, 0.1332396
2.54, -4.064493, 8.821409, 3.4005852, 0.13228396
2.56, -4.068943, 8.855094, 3.3592463, 0.13135819
2.58, -4.0746155, 8.898288, 3.3384793, 0.13064443
2.6, -4.0800495, 8.939881, 3.3077297, 0.12991755
2.62, -4.0857306, 8.983595, 3.2783818, 0.12923868
2.6399999, -4.091465, 9.027951, 3.2467263, 0.12858343
2.6599998, -4.097356, 9.07376, 3.2141516, 0.12796271
